,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,1e-05,2.96779,2.96779,-3.9968e-15,0.0,0.0,-2.22312e-38,9.99995e-06,9.99995e-06,-8.57139e-06,0.0,0.0,0.0,0.0,9.999999999621423e-06,0.0,0.0,9.999999999621423e-06,0.0,-8.571353265707238e-06
1,2e-05,5.93554,5.93554,-3.10862e-15,0.0,0.0,-4.44622e-38,1.99998e-05,1.99998e-05,-1.71427e-05,0.0,0.0,0.0,0.0,1.9999999997244444e-05,0.0,0.0,1.9999999997244444e-05,0.0,-1.714255306473067e-05
2,3.5e-05,10.3871,10.3871,-1.73195e-14,0.0,0.0,-8.33656e-38,3.49994e-05,3.49994e-05,-2.99995e-05,0.0,0.0,0.0,0.0,3.5000012486241516e-05,0.0,0.0,3.5000012486241516e-05,0.0,-2.9999050019546836e-05
3,5.75e-05,17.0644,17.0644,-7.9492e-14,0.0,0.0,-1.8757e-37,5.74983e-05,5.74983e-05,-4.92843e-05,0.0,0.0,0.0,0.0,5.749995305892597e-05,0.0,0.0,5.749995305892597e-05,0.0,-4.928308554885685e-05
4,9.125e-05,27.0799,27.0799,-4.11671e-13,0.0,0.0,-4.22022e-37,9.12458e-05,9.12458e-05,-7.82107e-05,0.0,0.0,0.0,0.0,9.124996302456445e-05,0.0,0.0,9.124996302456445e-05,0.0,-7.820764162291827e-05
5,0.00014188,42.1027,42.1027,-2.06191e-12,0.0,0.0,-9.49518e-37,0.000141865,0.000141865,-0.000121599,0.0,0.0,0.0,0.0,0.00014187506331508892,0.0,0.0,0.00014187506331508892,0.0,-0.00012159160714120265
6,0.00021781,64.6354,64.6354,-1.04285e-11,0.0,0.0,-2.1363e-36,0.000217789,0.000217789,-0.000186676,0.0,0.0,0.0,0.0,0.0002178127177461242,0.0,0.0,0.0002178127177461242,0.0,-0.00018665857711963607
7,0.00033172,98.4312,98.4312,-5.28479e-11,0.0,0.0,-4.8063e-36,0.000331664,0.000331664,-0.000284283,0.0,0.0,0.0,0.0,0.0003317190065854625,0.0,0.0,0.0003317190065854625,0.0,-0.00028424259541681707
8,0.00050258,149.118,149.118,-2.67432e-10,0.0,0.0,-1.08129e-35,0.000502452,0.000502452,-0.000430673,0.0,0.0,0.0,0.0,0.0005025782501502096,0.0,0.0,0.0005025782501502096,0.0,-0.00043058027369557994
9,0.00075887,225.131,225.131,-1.35321e-09,0.0,0.0,-2.43248e-35,0.000758579,0.000758579,-0.000650211,0.0,0.0,0.0,0.0,0.0007588667938165372,0.0,0.0,0.0007588667938165372,0.0,-0.0006499996586357693
