,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,1e-05,2.08407,-1.66533e-16,-2.22045e-16,1.69736e-17,-3.59433e-39,0.0,9.99995e-06,-2.99999e-06,-2.99999e-06,0.0,0.0,0.0,0.0,9.999999999621423e-06,0.0,0.0,-2.999985500018454e-06,0.0,-2.999985500018454e-06
1,2e-05,4.16811,3.33067e-16,4.44089e-16,-2.20659e-22,-3.59433e-39,0.0,1.99998e-05,-5.99994e-06,-5.99994e-06,0.0,0.0,0.0,0.0,1.9999999997244444e-05,0.0,0.0,-5.999922000343716e-06,0.0,-5.999922000343716e-06
2,3.5e-05,7.29414,-1.11022e-16,-2.22045e-16,-2.20659e-22,-3.59433e-39,-1.37033e-38,3.49994e-05,-1.04998e-05,-1.04998e-05,0.0,0.0,0.0,0.0,3.5000012486241516e-05,0.0,0.0,-1.0499744877323636e-05,0.0,-1.0499744877323636e-05
3,5.75e-05,11.9831,-4.21885e-15,-4.44089e-15,1.69731e-17,-1.0783e-38,-3.39477e-17,5.74983e-05,-1.72495e-05,-1.72495e-05,0.0,0.0,0.0,0.0,5.749995305892597e-05,0.0,0.0,-1.7249351228265652e-05,0.0,-1.7249351228265652e-05
4,9.125e-05,19.0163,-2.88658e-14,-2.93099e-14,1.69724e-17,-3.39462e-17,0.0,9.12458e-05,-2.73738e-05,-2.73738e-05,0.0,0.0,0.0,0.0,9.124996302456445e-05,0.0,0.0,-2.737342534098186e-05,0.0,-2.737342534098186e-05
5,0.00014188,29.5657,-1.57208e-13,-1.57208e-13,-1.69742e-17,1.48934e-21,-1.35791e-16,0.000141865,-4.25595e-05,-4.25595e-05,0.0,0.0,0.0,0.0,0.00014187506331508892,0.0,0.0,-4.255859435731146e-05,0.0,-4.255859435731146e-05
6,0.00021781,45.3888,-8.01581e-13,-8.01137e-13,-8.48612e-17,-6.78872e-17,-6.78954e-17,0.000217789,-6.53366e-05,-6.53366e-05,0.0,0.0,0.0,0.0,0.0002178127177461242,0.0,0.0,-6.533446561085565e-05,0.0,-6.533446561085565e-05
7,0.00033172,69.1212,-4.04787e-12,-4.05009e-12,1.86693e-16,-6.78772e-17,-4.75268e-16,0.000331664,-9.94991e-05,-9.94991e-05,0.0,0.0,0.0,0.0,0.0003317190065854625,0.0,0.0,-9.949415012866503e-05,0.0,-9.949415012866503e-05
8,0.00050258,104.715,-2.05174e-11,-2.05169e-11,1.86651e-16,2.03659e-16,-3.39477e-16,0.000502452,-0.000150736,-0.000150736,0.0,0.0,0.0,0.0,0.0005025782501502096,0.0,0.0,-0.00015072463989995732,0.0,-0.00015072463989995732
9,0.00075887,158.094,-1.03756e-10,-1.03753e-10,1.86589e-16,2.03591e-16,-6.78954e-17,0.000758579,-0.000227574,-0.000227574,0.0,0.0,0.0,0.0,0.0007588667938165372,0.0,0.0,-0.0002275481070015406,0.0,-0.0002275481070015406
10,0.0011433,238.136,-5.24726e-10,-5.24729e-10,-3.56396e-16,2.0349e-16,-6.11059e-16,0.00114265,-0.000342794,-0.000342794,0.0,0.0,0.0,0.0,0.0011433030732321825,0.0,0.0,-0.00034273525284966855,0.0,-0.00034273525284966855
